Revenue,Survey question,Response option,Percent,Question sample size
"$500,001-$1 million",Census division,Pacific,18%,1342
"$500,001-$1 million",Census division,Middle Atlantic,14%,1342
"$500,001-$1 million",Census division,East North Central,11%,1342
"$500,001-$1 million",Census division,West South Central,10%,1342
"$500,001-$1 million",Census division,West North Central,7%,1342
"$500,001-$1 million",Census division,New England,7%,1342
"$500,001-$1 million",Census division,Mountain,6%,1342
"$500,001-$1 million",Census division,East South Central,5%,1342
$1 million-$5 million,Census division,Pacific,17%,1867
$1 million-$5 million,Census division,South Atlantic,17%,1867
$1 million-$5 million,Census division,East North Central,14%,1867
$1 million-$5 million,Census division,Middle Atlantic,13%,1867
$1 million-$5 million,Census division,West South Central,11%,1867
$1 million-$5 million,Census division,Mountain,9%,1867
$1 million-$5 million,Census division,West North Central,7%,1867
$1 million-$5 million,Census division,East South Central,6%,1867
$1 million-$5 million,Census division,New England,5%,1867
"$250,001-$500,000",Challenges at finance company,High interest rate,52%,55
"$250,001-$500,000",Challenges at finance company,Difficult application process,35%,55
"$250,001-$500,000",Challenges at finance company,Experienced no challenges,33%,55
"$250,001-$500,000",Challenges at finance company,Lack of transparency,29%,55
"$250,001-$500,000",Challenges at finance company,Unfavorable repayment terms,25%,55
"$250,001-$500,000",Challenges at finance company,Long wait for credit decision or funding,24%,55
"$250,001-$500,000",Challenges at finance company,Other,7%,55
"$500,001-$1 million",Challenges at finance company,Experienced no challenges,54%,71
"$500,001-$1 million",Challenges at finance company,High interest rate,40%,71
"$500,001-$1 million",Challenges at finance company,Unfavorable repayment terms,26%,71
"$500,001-$1 million",Challenges at finance company,Long wait for credit decision or funding,9%,71
"$500,001-$1 million",Challenges at finance company,Lack of transparency,9%,71
"$500,001-$1 million",Challenges at finance company,Difficult application process,8%,71
"$500,001-$1 million",Challenges at finance company,Other,1%,71
$1 million-$5 million,Challenges at finance company,High interest rate,47%,108
$1 million-$5 million,Challenges at finance company,Experienced no challenges,46%,108
$1 million-$5 million,Challenges at finance company,Unfavorable repayment terms,12%,108
$1 million-$5 million,Challenges at finance company,Difficult application process,12%,108
$1 million-$5 million,Challenges at finance company,Lack of transparency,10%,108
$1 million-$5 million,Challenges at finance company,Long wait for credit decision or funding,9%,108
$1 million-$5 million,Challenges at finance company,Other,1%,108
"$50,001-$100,000",Challenges at large bank,Experienced no challenges,41%,66
"$50,001-$100,000",Challenges at large bank,High interest rate,34%,66
"$50,001-$100,000",Challenges at large bank,Long wait for credit decision or funding,18%,66
"$50,001-$100,000",Challenges at large bank,Difficult application process,17%,66
"$50,001-$100,000",Challenges at large bank,Other,7%,66
"$50,001-$100,000",Challenges at large bank,Lack of transparency,4%,66
"$50,001-$100,000",Challenges at large bank,Unfavorable repayment terms,1%,66
$5 million-$10 million,Challenges at large bank,Experienced no challenges,51%,70
$5 million-$10 million,Challenges at large bank,Long wait for credit decision or funding,29%,70
$5 million-$10 million,Challenges at large bank,High interest rate,18%,70
$5 million-$10 million,Challenges at large bank,Difficult application process,17%,70
$5 million-$10 million,Challenges at large bank,Unfavorable repayment terms,3%,70
$5 million-$10 million,Challenges at large bank,Lack of transparency,3%,70
$5 million-$10 million,Challenges at large bank,Other,2%,70
More than $10 million,Challenges at large bank,Experienced no challenges,59%,92
More than $10 million,Challenges at large bank,High interest rate,24%,92
More than $10 million,Challenges at large bank,Long wait for credit decision or funding,21%,92
More than $10 million,Challenges at large bank,Unfavorable repayment terms,10%,92
More than $10 million,Challenges at large bank,Difficult application process,10%,92
More than $10 million,Challenges at large bank,Lack of transparency,8%,92
More than $10 million,Challenges at large bank,Other,2%,92
"$100,001-$250,000",Challenges at large bank,Experienced no challenges,37%,140
"$100,001-$250,000",Challenges at large bank,Difficult application process,31%,140
"$100,001-$250,000",Challenges at large bank,High interest rate,30%,140
"$100,001-$250,000",Challenges at large bank,Long wait for credit decision or funding,20%,140
"$100,001-$250,000",Challenges at large bank,Lack of transparency,16%,140
"$100,001-$250,000",Challenges at large bank,Unfavorable repayment terms,14%,140
"$100,001-$250,000",Challenges at large bank,Other,4%,140
"$250,001-$500,000",Challenges at large bank,Experienced no challenges,55%,155
"$250,001-$500,000",Challenges at large bank,High interest rate,26%,155
"$250,001-$500,000",Challenges at large bank,Difficult application process,18%,155
"$250,001-$500,000",Challenges at large bank,Long wait for credit decision or funding,18%,155
"$250,001-$500,000",Challenges at large bank,Lack of transparency,15%,155
"$250,001-$500,000",Challenges at large bank,Unfavorable repayment terms,11%,155
"$250,001-$500,000",Challenges at large bank,Other,2%,155
"$500,001-$1 million",Challenges at large bank,Experienced no challenges,51%,183
"$500,001-$1 million",Challenges at large bank,High interest rate,32%,183
"$500,001-$1 million",Challenges at large bank,Difficult application process,17%,183
"$500,001-$1 million",Challenges at large bank,Lack of transparency,13%,183
"$500,001-$1 million",Challenges at large bank,Unfavorable repayment terms,12%,183
"$500,001-$1 million",Challenges at large bank,Long wait for credit decision or funding,12%,183
"$500,001-$1 million",Challenges at large bank,Other,3%,183
$1 million-$5 million,Challenges at large bank,Experienced no challenges,49%,266
$1 million-$5 million,Challenges at large bank,Long wait for credit decision or funding,27%,266
$1 million-$5 million,Challenges at large bank,High interest rate,26%,266
$1 million-$5 million,Challenges at large bank,Difficult application process,25%,266
$1 million-$5 million,Challenges at large bank,Unfavorable repayment terms,8%,266
$1 million-$5 million,Challenges at large bank,Lack of transparency,7%,266
$1 million-$5 million,Challenges at large bank,Other,2%,266
"$50,001-$100,000",Challenges at online lender,High interest rate,50%,52
"$50,001-$100,000",Challenges at online lender,Experienced no challenges,45%,52
"$50,001-$100,000",Challenges at online lender,Unfavorable repayment terms,15%,52
"$50,001-$100,000",Challenges at online lender,Difficult application process,14%,52
"$50,001-$100,000",Challenges at online lender,Long wait for credit decision or funding,9%,52
"$50,001-$100,000",Challenges at online lender,Lack of transparency,5%,52
"$50,001-$100,000",Challenges at online lender,Other,0%,52
"$500,001-$1 million",Challenges at online lender,High interest rate,58%,133
"$500,001-$1 million",Challenges at online lender,Unfavorable repayment terms,49%,133
"$500,001-$1 million",Challenges at online lender,Experienced no challenges,29%,133
"$500,001-$1 million",Challenges at online lender,Lack of transparency,12%,133
"$500,001-$1 million",Challenges at online lender,Long wait for credit decision or funding,7%,133
"$500,001-$1 million",Challenges at online lender,Difficult application process,7%,133
"$500,001-$1 million",Challenges at online lender,Other,2%,133
"$100,001-$250,000",Challenges at online lender,High interest rate,48%,140
"$100,001-$250,000",Challenges at online lender,Unfavorable repayment terms,31%,140
"$100,001-$250,000",Challenges at online lender,Difficult application process,29%,140
"$100,001-$250,000",Challenges at online lender,Experienced no challenges,19%,140
"$100,001-$250,000",Challenges at online lender,Lack of transparency,18%,140
"$100,001-$250,000",Challenges at online lender,Long wait for credit decision or funding,16%,140
"$100,001-$250,000",Challenges at online lender,Other,0%,140
"$250,001-$500,000",Challenges at online lender,High interest rate,45%,153
"$250,001-$500,000",Challenges at online lender,Unfavorable repayment terms,42%,153
"$250,001-$500,000",Challenges at online lender,Experienced no challenges,26%,153
"$250,001-$500,000",Challenges at online lender,Difficult application process,22%,153
"$250,001-$500,000",Challenges at online lender,Lack of transparency,19%,153
"$250,001-$500,000",Challenges at online lender,Long wait for credit decision or funding,15%,153
"$250,001-$500,000",Challenges at online lender,Other,2%,153
$1 million-$5 million,Challenges at online lender,High interest rate,71%,167
$1 million-$5 million,Challenges at online lender,Unfavorable repayment terms,42%,167
$1 million-$5 million,Challenges at online lender,Experienced no challenges,28%,167
$1 million-$5 million,Challenges at online lender,Lack of transparency,15%,167
$1 million-$5 million,Challenges at online lender,Difficult application process,13%,167
$1 million-$5 million,Challenges at online lender,Long wait for credit decision or funding,8%,167
$1 million-$5 million,Challenges at online lender,Other,0%,167
$5 million-$10 million,Challenges at small bank,Experienced no challenges,51%,67
$5 million-$10 million,Challenges at small bank,High interest rate,28%,67
$5 million-$10 million,Challenges at small bank,Unfavorable repayment terms,16%,67
$5 million-$10 million,Challenges at small bank,Other,14%,67
$5 million-$10 million,Challenges at small bank,Long wait for credit decision or funding,11%,67
$5 million-$10 million,Challenges at small bank,Difficult application process,8%,67
$5 million-$10 million,Challenges at small bank,Lack of transparency,0%,67
"$100,001-$250,000",Challenges at small bank,Experienced no challenges,48%,80
"$100,001-$250,000",Challenges at small bank,High interest rate,31%,80
"$100,001-$250,000",Challenges at small bank,Long wait for credit decision or funding,20%,80
"$100,001-$250,000",Challenges at small bank,Difficult application process,13%,80
"$100,001-$250,000",Challenges at small bank,Unfavorable repayment terms,12%,80
"$100,001-$250,000",Challenges at small bank,Lack of transparency,8%,80
"$100,001-$250,000",Challenges at small bank,Other,6%,80
More than $10 million,Challenges at small bank,Experienced no challenges,69%,80
More than $10 million,Challenges at small bank,High interest rate,29%,80
More than $10 million,Challenges at small bank,Long wait for credit decision or funding,11%,80
More than $10 million,Challenges at small bank,Unfavorable repayment terms,6%,80
More than $10 million,Challenges at small bank,Difficult application process,4%,80
More than $10 million,Challenges at small bank,Other,3%,80
More than $10 million,Challenges at small bank,Lack of transparency,3%,80
"$250,001-$500,000",Challenges at small bank,Experienced no challenges,49%,99
"$250,001-$500,000",Challenges at small bank,High interest rate,30%,99
"$250,001-$500,000",Challenges at small bank,Long wait for credit decision or funding,21%,99
"$250,001-$500,000",Challenges at small bank,Difficult application process,19%,99
"$250,001-$500,000",Challenges at small bank,Unfavorable repayment terms,18%,99
"$250,001-$500,000",Challenges at small bank,Lack of transparency,15%,99
"$250,001-$500,000",Challenges at small bank,Other,0%,99
"$500,001-$1 million",Challenges at small bank,Experienced no challenges,43%,117
"$500,001-$1 million",Challenges at small bank,High interest rate,33%,117
"$500,001-$1 million",Challenges at small bank,Difficult application process,15%,117
"$500,001-$1 million",Challenges at small bank,Lack of transparency,14%,117
"$500,001-$1 million",Challenges at small bank,Long wait for credit decision or funding,9%,117
"$500,001-$1 million",Challenges at small bank,Unfavorable repayment terms,8%,117
"$500,001-$1 million",Challenges at small bank,Other,3%,117
$1 million-$5 million,Challenges at small bank,Experienced no challenges,56%,218
$1 million-$5 million,Challenges at small bank,High interest rate,32%,218
$1 million-$5 million,Challenges at small bank,Long wait for credit decision or funding,16%,218
$1 million-$5 million,Challenges at small bank,Difficult application process,16%,218
$1 million-$5 million,Challenges at small bank,Unfavorable repayment terms,7%,218
$1 million-$5 million,Challenges at small bank,Lack of transparency,1%,218
$1 million-$5 million,Challenges at small bank,Other,1%,218
"$25,001-$50,000",Confidence level that insurance coverage is adequate,Not confident,19%,170
"$25,001-$50,000",Confidence level that insurance coverage is adequate,Somewhat confident,34%,170
"$25,001-$50,000",Confidence level that insurance coverage is adequate,Very confident,47%,170
"$0-$25,000",Confidence level that insurance coverage is adequate,Not confident,20%,233
"$0-$25,000",Confidence level that insurance coverage is adequate,Somewhat confident,28%,233
"$0-$25,000",Confidence level that insurance coverage is adequate,Very confident,51%,233
$5 million-$10 million,Confidence level that insurance coverage is adequate,Not confident,3%,296
$5 million-$10 million,Confidence level that insurance coverage is adequate,Somewhat confident,36%,296
$5 million-$10 million,Confidence level that insurance coverage is adequate,Very confident,61%,296
More than $10 million,Confidence level that insurance coverage is adequate,Not confident,5%,334
More than $10 million,Confidence level that insurance coverage is adequate,Somewhat confident,36%,334
More than $10 million,Confidence level that insurance coverage is adequate,Very confident,59%,334
"$50,001-$100,000",Confidence level that insurance coverage is adequate,Not confident,10%,371
"$50,001-$100,000",Confidence level that insurance coverage is adequate,Somewhat confident,38%,371
"$50,001-$100,000",Confidence level that insurance coverage is adequate,Very confident,52%,371
"$100,001-$250,000",Confidence level that insurance coverage is adequate,Not confident,10%,801
"$100,001-$250,000",Confidence level that insurance coverage is adequate,Somewhat confident,48%,801
"$100,001-$250,000",Confidence level that insurance coverage is adequate,Very confident,41%,801
"$250,001-$500,000",Confidence level that insurance coverage is adequate,Not confident,10%,998
"$250,001-$500,000",Confidence level that insurance coverage is adequate,Somewhat confident,45%,998
"$250,001-$500,000",Confidence level that insurance coverage is adequate,Very confident,45%,998
"$500,001-$1 million",Confidence level that insurance coverage is adequate,Not confident,8%,1058
"$500,001-$1 million",Confidence level that insurance coverage is adequate,Somewhat confident,42%,1058
"$500,001-$1 million",Confidence level that insurance coverage is adequate,Very confident,51%,1058
$1 million-$5 million,Confidence level that insurance coverage is adequate,Not confident,8%,1544
$1 million-$5 million,Confidence level that insurance coverage is adequate,Somewhat confident,42%,1544
$1 million-$5 million,Confidence level that insurance coverage is adequate,Very confident,51%,1544
"$25,001-$50,000",Credit risk of firm,Low credit risk,63%,207
"$25,001-$50,000",Credit risk of firm,Medium credit risk,24%,207
"$25,001-$50,000",Credit risk of firm,High credit risk,13%,207
"$0-$25,000",Credit risk of firm,Low credit risk,59%,268
"$0-$25,000",Credit risk of firm,Medium credit risk,27%,268
"$0-$25,000",Credit risk of firm,High credit risk,13%,268
$5 million-$10 million,Credit risk of firm,Low credit risk,88%,272
$5 million-$10 million,Credit risk of firm,Medium credit risk,11%,272
$5 million-$10 million,Credit risk of firm,High credit risk,1%,272
More than $10 million,Credit risk of firm,Low credit risk,92%,285
More than $10 million,Credit risk of firm,Medium credit risk,8%,285
More than $10 million,Credit risk of firm,High credit risk,0%,285
"$50,001-$100,000",Credit risk of firm,Low credit risk,56%,406
"$50,001-$100,000",Credit risk of firm,Medium credit risk,31%,406
"$50,001-$100,000",Credit risk of firm,High credit risk,12%,406
"$100,001-$250,000",Credit risk of firm,Low credit risk,62%,822
"$100,001-$250,000",Credit risk of firm,Medium credit risk,28%,822
"$100,001-$250,000",Credit risk of firm,High credit risk,10%,822
"$250,001-$500,000",Credit risk of firm,Low credit risk,68%,938
"$250,001-$500,000",Credit risk of firm,Medium credit risk,24%,938
"$250,001-$500,000",Credit risk of firm,High credit risk,8%,938
"$500,001-$1 million",Credit risk of firm,Low credit risk,74%,1003
"$500,001-$1 million",Credit risk of firm,Medium credit risk,23%,1003
"$500,001-$1 million",Credit risk of firm,High credit risk,3%,1003
$1 million-$5 million,Credit risk of firm,Low credit risk,81%,1445
$1 million-$5 million,Credit risk of firm,Medium credit risk,16%,1445
$1 million-$5 million,Credit risk of firm,High credit risk,3%,1445
"$25,001-$50,000",Current financial condition,Poor,27%,284
"$25,001-$50,000",Current financial condition,Fair,45%,284
"$25,001-$50,000",Current financial condition,Good,16%,284
"$25,001-$50,000",Current financial condition,Very good,4%,284
"$25,001-$50,000",Current financial condition,Excellent,7%,284
"$0-$25,000",Current financial condition,Poor,37%,361
"$0-$25,000",Current financial condition,Fair,43%,361
"$0-$25,000",Current financial condition,Good,18%,361
"$0-$25,000",Current financial condition,Very good,1%,361
"$0-$25,000",Current financial condition,Excellent,1%,361
$5 million-$10 million,Current financial condition,Poor,9%,368
$5 million-$10 million,Current financial condition,Fair,29%,368
$5 million-$10 million,Current financial condition,Good,26%,368
$5 million-$10 million,Current financial condition,Very good,21%,368
$5 million-$10 million,Current financial condition,Excellent,15%,368
More than $10 million,Current financial condition,Poor,5%,411
More than $10 million,Current financial condition,Fair,23%,411
More than $10 million,Current financial condition,Good,34%,411
More than $10 million,Current financial condition,Very good,24%,411
More than $10 million,Current financial condition,Excellent,14%,411
"$50,001-$100,000",Current financial condition,Poor,25%,539
"$50,001-$100,000",Current financial condition,Fair,44%,539
"$50,001-$100,000",Current financial condition,Good,24%,539
"$50,001-$100,000",Current financial condition,Very good,7%,539
"$50,001-$100,000",Current financial condition,Excellent,1%,539
"$100,001-$250,000",Current financial condition,Poor,28%,1074
"$100,001-$250,000",Current financial condition,Fair,42%,1074
"$100,001-$250,000",Current financial condition,Good,23%,1074
"$100,001-$250,000",Current financial condition,Very good,5%,1074
"$100,001-$250,000",Current financial condition,Excellent,1%,1074
"$250,001-$500,000",Current financial condition,Poor,24%,1249
"$250,001-$500,000",Current financial condition,Fair,40%,1249
"$250,001-$500,000",Current financial condition,Good,26%,1249
"$250,001-$500,000",Current financial condition,Very good,8%,1249
"$250,001-$500,000",Current financial condition,Excellent,3%,1249
"$500,001-$1 million",Current financial condition,Poor,17%,1341
"$500,001-$1 million",Current financial condition,Fair,36%,1341
"$500,001-$1 million",Current financial condition,Good,26%,1341
"$500,001-$1 million",Current financial condition,Very good,17%,1341
"$500,001-$1 million",Current financial condition,Excellent,4%,1341
$1 million-$5 million,Current financial condition,Poor,15%,1865
$1 million-$5 million,Current financial condition,Fair,33%,1865
$1 million-$5 million,Current financial condition,Good,30%,1865
$1 million-$5 million,Current financial condition,Very good,14%,1865
$1 million-$5 million,Current financial condition,Excellent,8%,1865
"$25,001-$50,000",Demand for financing,Applied for any type of financing,58%,284
"$0-$25,000",Demand for financing,Applied for any type of financing,64%,361
$5 million-$10 million,Demand for financing,Applied for any type of financing,63%,368
More than $10 million,Demand for financing,Applied for any type of financing,66%,412
"$50,001-$100,000",Demand for financing,Applied for any type of financing,61%,539
"$100,001-$250,000",Demand for financing,Applied for any type of financing,58%,1075
"$250,001-$500,000",Demand for financing,Applied for any type of financing,52%,1249
"$500,001-$1 million",Demand for financing,Applied for any type of financing,60%,1342
$1 million-$5 million,Demand for financing,Applied for any type of financing,56%,1867
"$25,001-$50,000",Disability status of ownership,Not majority-owned by owner(s) with disability,87%,227
"$25,001-$50,000",Disability status of ownership,Majority-owned by owner(s) with disability,13%,227
"$0-$25,000",Disability status of ownership,Not majority-owned by owner(s) with disability,83%,297
"$0-$25,000",Disability status of ownership,Majority-owned by owner(s) with disability,17%,297
$5 million-$10 million,Disability status of ownership,Not majority-owned by owner(s) with disability,97%,326
$5 million-$10 million,Disability status of ownership,Majority-owned by owner(s) with disability,3%,326
More than $10 million,Disability status of ownership,Not majority-owned by owner(s) with disability,97%,358
More than $10 million,Disability status of ownership,Majority-owned by owner(s) with disability,3%,358
"$50,001-$100,000",Disability status of ownership,Not majority-owned by owner(s) with disability,91%,430
"$50,001-$100,000",Disability status of ownership,Majority-owned by owner(s) with disability,9%,430
"$100,001-$250,000",Disability status of ownership,Not majority-owned by owner(s) with disability,95%,891
"$100,001-$250,000",Disability status of ownership,Majority-owned by owner(s) with disability,5%,891
"$250,001-$500,000",Disability status of ownership,Not majority-owned by owner(s) with disability,94%,1069
"$250,001-$500,000",Disability status of ownership,Majority-owned by owner(s) with disability,6%,1069
"$500,001-$1 million",Disability status of ownership,Not majority-owned by owner(s) with disability,96%,1152
"$500,001-$1 million",Disability status of ownership,Majority-owned by owner(s) with disability,4%,1152
$1 million-$5 million,Disability status of ownership,Not majority-owned by owner(s) with disability,97%,1627
$1 million-$5 million,Disability status of ownership,Majority-owned by owner(s) with disability,3%,1627
"$250,001-$500,000",Discouraged borrower reason for not applying,Weak business financials,91%,50
"$250,001-$500,000",Discouraged borrower reason for not applying,Lenders do not approve financing for businesses like mine,23%,50
"$250,001-$500,000",Discouraged borrower reason for not applying,Lender requirements too strict,11%,50
"$250,001-$500,000",Discouraged borrower reason for not applying,Was denied financing previously,5%,50
"$250,001-$500,000",Discouraged borrower reason for not applying,Unsure,2%,50
"$250,001-$500,000",Discouraged borrower reason for not applying,Missing documentation,1%,50
"$250,001-$500,000",Discouraged borrower reason for not applying,Other,0%,50
"$0-$25,000",Discouraged borrower reason for not applying,Weak business financials,67%,55
"$0-$25,000",Discouraged borrower reason for not applying,Lenders do not approve financing for businesses like mine,49%,55
"$0-$25,000",Discouraged borrower reason for not applying,Lender requirements too strict,26%,55
"$0-$25,000",Discouraged borrower reason for not applying,Was denied financing previously,21%,55
"$0-$25,000",Discouraged borrower reason for not applying,Unsure,17%,55
"$0-$25,000",Discouraged borrower reason for not applying,Other,1%,55
"$0-$25,000",Discouraged borrower reason for not applying,Missing documentation,0%,55
"$25,001-$50,000",Distance from hq business delivers products / renders services to key customers,0 miles (at business's headquarters),24%,196
"$25,001-$50,000",Distance from hq business delivers products / renders services to key customers,0–50 miles (locally),59%,196
"$25,001-$50,000",Distance from hq business delivers products / renders services to key customers,51–500 miles (regionally),21%,196
"$25,001-$50,000",Distance from hq business delivers products / renders services to key customers,"More than 500 miles away, within the US (nationally)",14%,196
"$25,001-$50,000",Distance from hq business delivers products / renders services to key customers,Outside the US (internationally),2%,196
"$0-$25,000",Distance from hq business delivers products / renders services to key customers,0 miles (at business's headquarters),18%,216
"$0-$25,000",Distance from hq business delivers products / renders services to key customers,0–50 miles (locally),70%,216
"$0-$25,000",Distance from hq business delivers products / renders services to key customers,51–500 miles (regionally),20%,216
"$0-$25,000",Distance from hq business delivers products / renders services to key customers,"More than 500 miles away, within the US (nationally)",18%,216
"$0-$25,000",Distance from hq business delivers products / renders services to key customers,Outside the US (internationally),3%,216
$5 million-$10 million,Distance from hq business delivers products / renders services to key customers,0 miles (at business's headquarters),5%,297
$5 million-$10 million,Distance from hq business delivers products / renders services to key customers,0–50 miles (locally),51%,297
$5 million-$10 million,Distance from hq business delivers products / renders services to key customers,51–500 miles (regionally),48%,297
$5 million-$10 million,Distance from hq business delivers products / renders services to key customers,"More than 500 miles away, within the US (nationally)",35%,297
$5 million-$10 million,Distance from hq business delivers products / renders services to key customers,Outside the US (internationally),10%,297
More than $10 million,Distance from hq business delivers products / renders services to key customers,0 miles (at business's headquarters),10%,336
More than $10 million,Distance from hq business delivers products / renders services to key customers,0–50 miles (locally),56%,336
More than $10 million,Distance from hq business delivers products / renders services to key customers,51–500 miles (regionally),47%,336
More than $10 million,Distance from hq business delivers products / renders services to key customers,"More than 500 miles away, within the US (nationally)",38%,336
More than $10 million,Distance from hq business delivers products / renders services to key customers,Outside the US (internationally),14%,336
"$50,001-$100,000",Distance from hq business delivers products / renders services to key customers,0 miles (at business's headquarters),28%,390
"$50,001-$100,000",Distance from hq business delivers products / renders services to key customers,0–50 miles (locally),55%,390
"$50,001-$100,000",Distance from hq business delivers products / renders services to key customers,51–500 miles (regionally),23%,390
"$50,001-$100,000",Distance from hq business delivers products / renders services to key customers,"More than 500 miles away, within the US (nationally)",21%,390
"$50,001-$100,000",Distance from hq business delivers products / renders services to key customers,Outside the US (internationally),6%,390
"$100,001-$250,000",Distance from hq business delivers products / renders services to key customers,0 miles (at business's headquarters),23%,842
"$100,001-$250,000",Distance from hq business delivers products / renders services to key customers,0–50 miles (locally),61%,842
"$100,001-$250,000",Distance from hq business delivers products / renders services to key customers,51–500 miles (regionally),21%,842
"$100,001-$250,000",Distance from hq business delivers products / renders services to key customers,"More than 500 miles away, within the US (nationally)",20%,842
"$100,001-$250,000",Distance from hq business delivers products / renders services to key customers,Outside the US (internationally),2%,842
"$250,001-$500,000",Distance from hq business delivers products / renders services to key customers,0 miles (at business's headquarters),25%,1000
"$250,001-$500,000",Distance from hq business delivers products / renders services to key customers,0–50 miles (locally),58%,1000
"$250,001-$500,000",Distance from hq business delivers products / renders services to key customers,51–500 miles (regionally),25%,1000
"$250,001-$500,000",Distance from hq business delivers products / renders services to key customers,"More than 500 miles away, within the US (nationally)",18%,1000
"$250,001-$500,000",Distance from hq business delivers products / renders services to key customers,Outside the US (internationally),4%,1000
"$500,001-$1 million",Distance from hq business delivers products / renders services to key customers,0 miles (at business's headquarters),24%,1077
"$500,001-$1 million",Distance from hq business delivers products / renders services to key customers,0–50 miles (locally),58%,1077
"$500,001-$1 million",Distance from hq business delivers products / renders services to key customers,51–500 miles (regionally),26%,1077
"$500,001-$1 million",Distance from hq business delivers products / renders services to key customers,"More than 500 miles away, within the US (nationally)",20%,1077
"$500,001-$1 million",Distance from hq business delivers products / renders services to key customers,Outside the US (internationally),6%,1077
$1 million-$5 million,Distance from hq business delivers products / renders services to key customers,0 miles (at business's headquarters),19%,1558
$1 million-$5 million,Distance from hq business delivers products / renders services to key customers,0–50 miles (locally),58%,1558
$1 million-$5 million,Distance from hq business delivers products / renders services to key customers,51–500 miles (regionally),35%,1558
$1 million-$5 million,Distance from hq business delivers products / renders services to key customers,"More than 500 miles away, within the US (nationally)",27%,1558
$1 million-$5 million,Distance from hq business delivers products / renders services to key customers,Outside the US (internationally),11%,1558
"$25,001-$50,000","Employment change, prior 12 months",Decreased,15%,265
"$25,001-$50,000","Employment change, prior 12 months",No change,50%,265
"$25,001-$50,000","Employment change, prior 12 months",Increased,35%,265
"$0-$25,000","Employment change, prior 12 months",Decreased,13%,347
"$0-$25,000","Employment change, prior 12 months",No change,45%,347
"$0-$25,000","Employment change, prior 12 months",Increased,42%,347
$5 million-$10 million,"Employment change, prior 12 months",Decreased,27%,363
$5 million-$10 million,"Employment change, prior 12 months",No change,41%,363
$5 million-$10 million,"Employment change, prior 12 months",Increased,32%,363
More than $10 million,"Employment change, prior 12 months",Decreased,24%,404
More than $10 million,"Employment change, prior 12 months",No change,34%,404
More than $10 million,"Employment change, prior 12 months",Increased,43%,404
"$50,001-$100,000","Employment change, prior 12 months",Decreased,21%,504
"$50,001-$100,000","Employment change, prior 12 months",No change,54%,504
"$50,001-$100,000","Employment change, prior 12 months",Increased,24%,504
"$100,001-$250,000","Employment change, prior 12 months",Decreased,22%,1039
"$100,001-$250,000","Employment change, prior 12 months",No change,60%,1039
"$100,001-$250,000","Employment change, prior 12 months",Increased,18%,1039
"$250,001-$500,000","Employment change, prior 12 months",Decreased,23%,1214
"$250,001-$500,000","Employment change, prior 12 months",No change,54%,1214
"$250,001-$500,000","Employment change, prior 12 months",Increased,23%,1214
"$500,001-$1 million","Employment change, prior 12 months",Decreased,25%,1315
"$500,001-$1 million","Employment change, prior 12 months",No change,52%,1315
"$500,001-$1 million","Employment change, prior 12 months",Increased,23%,1315
$1 million-$5 million,"Employment change, prior 12 months",Decreased,28%,1840
$1 million-$5 million,"Employment change, prior 12 months",No change,46%,1840
$1 million-$5 million,"Employment change, prior 12 months",Increased,26%,1840
"$25,001-$50,000","Employment expectations, next 12 months",Will decrease,9%,267
"$25,001-$50,000","Employment expectations, next 12 months",Will not change,51%,267
"$25,001-$50,000","Employment expectations, next 12 months",Will increase,40%,267
"$0-$25,000","Employment expectations, next 12 months",Will decrease,6%,347
"$0-$25,000","Employment expectations, next 12 months",Will not change,32%,347
"$0-$25,000","Employment expectations, next 12 months",Will increase,62%,347
$5 million-$10 million,"Employment expectations, next 12 months",Will decrease,15%,363
$5 million-$10 million,"Employment expectations, next 12 months",Will not change,39%,363
$5 million-$10 million,"Employment expectations, next 12 months",Will increase,46%,363
More than $10 million,"Employment expectations, next 12 months",Will decrease,14%,408
More than $10 million,"Employment expectations, next 12 months",Will not change,40%,408
More than $10 million,"Employment expectations, next 12 months",Will increase,46%,408
"$50,001-$100,000","Employment expectations, next 12 months",Will decrease,11%,509
"$50,001-$100,000","Employment expectations, next 12 months",Will not change,50%,509
"$50,001-$100,000","Employment expectations, next 12 months",Will increase,39%,509
"$100,001-$250,000","Employment expectations, next 12 months",Will decrease,12%,1045
"$100,001-$250,000","Employment expectations, next 12 months",Will not change,56%,1045
"$100,001-$250,000","Employment expectations, next 12 months",Will increase,32%,1045
"$250,001-$500,000","Employment expectations, next 12 months",Will decrease,10%,1224
"$250,001-$500,000","Employment expectations, next 12 months",Will not change,58%,1224
"$250,001-$500,000","Employment expectations, next 12 months",Will increase,32%,1224
"$500,001-$1 million","Employment expectations, next 12 months",Will decrease,10%,1321
"$500,001-$1 million","Employment expectations, next 12 months",Will not change,58%,1321
"$500,001-$1 million","Employment expectations, next 12 months",Will increase,33%,1321
$1 million-$5 million,"Employment expectations, next 12 months",Will decrease,15%,1844
$1 million-$5 million,"Employment expectations, next 12 months",Will not change,52%,1844
$1 million-$5 million,"Employment expectations, next 12 months",Will increase,33%,1844
"$25,001-$50,000","Financial challenges, prior 12 months",Paying operating expenses,66%,284
"$25,001-$50,000","Financial challenges, prior 12 months","Increased costs of goods, services, and/or wages",65%,284
"$25,001-$50,000","Financial challenges, prior 12 months",Uneven cash flow,43%,284
